nombre_abreviado,tipo1,tipo2,sector,RFOSC,Tipo de organización,forma_org,alcance,alcance_estatal,figura_juridica,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,centralidad_Katz,componente,clustering_local_ponderado,clustering_local,bloque_similaridad_estructural,bloque_similaridad_regular,comunidad_infomap,flujo_en_modulo_infomap,knnw_conectividadProm_colaboradores_(ponderado),knn_conectividadProm_colaboradores
UNORCA,IN,CA,IN / CA,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,12,3,6,2.01555688708272E-07,70.7999360202,1,122.0824829456,2,0.6340909091,0.6515151515,4,10,5,0.0018018,18.5833333333,46.3333333333
UnSaltoVida,EC,NA,EC,No,Discreta,Civil,local,Jalisco,Asociación Civil,3,1,1.7320508076,1.65461272296761E-07,69.4290241491,0,17.0089611117,2,1,1,15,4,13,0.000600601,7,9
UNT,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,60,16,30.9838667697,0.002199308,114.1114519518,3040.6666666667,1847.5508766998,2,0.3499270665,0.2203389831,2,18,4,0.00960961,21.1666666667,47.3125
UNTA,CA,NA,CA,Sí,Matriz,Económico-gremial,nacional,Nacional,Asociación Civil,25,19,21.7944947177,1.67333314652252E-05,106.5987234128,803.75,682.6025416541,2,0.5005482456,0.3766666667,1,10,7,0.0114114,25.04,15.6842105263
UNTyPP,SPB,TSG,SPB / TSG,No,Matriz,Económico-gremial,nacional,Nacional,Sindical,5,1,2.2360679775,8.55450837565494E-07,69.8036022999,0,99.5358416405,2,1,1,2,12,32,0.000600601,22,39
UPOEG,PC,NA,PC,No,Matriz,Urbano-gremial,local,Guerrero,Desconocida,2,1,1.4142135624,8.0685670411484E-06,76.6608131609,0,41.4489657589,2,1,1,26,26,1,0.000600601,25,128
UPREZ,RP,NA,RP,No,Matriz,Urbano-gremial,nacional,Nacional,Desconocida,22,4,9.3808315196,0.0002336383,100.0522375556,643.8333333333,995.0512766131,2,0.4742063492,0.5844155844,21,15,9,0.0024024,33.7272727273,76.5
UPRN,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,5,2,3.1622776602,6.8193334798923E-05,93.1773539066,0,257.5955878107,2,0.75,0.7,2,18,4,0.0012012,47.6,62
UPVA 28 Oct,TSI,NA,TSI,No,Discreta,Urbano-gremial,local,Puebla,Informal,3,1,1.7320508076,1.02886458228823E-05,63.243489543,0,30.102765744,2,1,1,2,7,11,0.000600601,14.3333333333,10
Vertebra,2P,NA,2P,No,Paraguas,Civil,local,Nuevo León,Asociación Civil,2,1,1.4142135624,7.36102994284916E-18,1.4142135624,0,1.0940919037,15,1,1,,14,,,2,2
VíaCiudadana,AP,NA,AP,No,Discreta,Urbano-gremial,local,Nuevo León,Desconocida,2,1,1.4142135624,4.90735329523277E-18,1.4142135624,0,1.0940919037,15,1,1,,7,,,2,2
VO,EC,NA,EC,No,Discreta,Civil,local,Guanajuato,Asociación Civil,2,1,1.4142135624,3.72256151196136E-07,67.6222374973,0,32.1481572024,2,1,1,8,4,13,0.000600601,12,8
VoluntariosxLapaz,AV,NA,AV,No,Discreta,Civil,local,Baja California Sur,Desconocida,5,1,2.2360679775,1.47220598856983E-17,2.7839709209,0,1.2788829578,3,1,1,,4,,,5.4,6
#YoSoy132-CDMX,ES,CÑ,ES / CÑ,No,Matriz,Civil,local,CDMX,Informal,22,7,12.409673646,0.000087979,95.2553441365,2435,692.2275916904,2,0.2568027211,0.3073593074,2,27,13,0.0042042,23.8181818182,27.5714285714
#YoSoy132-Gro,ES,CÑ,ES / CÑ,No,Matriz,Civil,local,Guerrero,Informal,2,1,1.4142135624,0.000038198,83.3457850434,0,109.0873434139,2,1,1,9,26,4,0.000600601,52.5,112
#YoSoy132-Pue,ES,CÑ,ES / CÑ,No,Matriz,Civil,local,Puebla,Informal,3,1,1.7320508076,7.93653884436942E-06,69.1574034423,0,32.4703922357,2,1,1,26,27,28,0.000600601,11,39
#YoSoy132-Qro,ES,CÑ,ES / CÑ,No,Matriz,Civil,local,Querétaro,Informal,1,1,1,3.68051497142458E-18,1,0,1.0449320794,1,0,0,,27,,,1,1
#YoSoy132-SLP,ES,CÑ,ES / CÑ,No,Matriz,Civil,local,San Luis Potosí,Informal,2,2,2,7.36102994284916E-18,2,1,1.0900309344,8,0,0,,27,,,1,1
#YoSoy132-Zac,ES,CÑ,ES / CÑ,No,Matriz,Civil,local,Zacatecas,Informal,2,1,1.4142135624,6.39054217455809E-08,68.2639719618,0,8.2217453788,2,1,1,1,27,15,0.000600601,5.5,7
#Yosoyred,AC,NA,AC,No,Discreta,Civil,local,CDMX,Informal,2,1,1.4142135624,3.72256151196136E-07,67.6222374973,0,32.1481572024,2,1,1,8,22,13,0.000600601,12,8
