URL noticia,Palabra clave hallada,Periódico,Fecha de publicación,Título,Estado involucrado,Sección en el diario
http://www.radioformula.com.mx/notas.asp?Idn=581684&idFC=2016,marcha,RadioFormula,28/03/2016,Con marcha exigen justicia para menor violada en Veracruz. Con ...,Veracruz,
http://www.radioformula.com.mx/notas.asp?Idn=581525&idFC=2016,planton,RadioFormula,28/03/2016,Hacen plantón por desaparecidos de Papantla: madre. Con Ciro ...,Veracruz,
http://www.radioformula.com.mx/notas.asp?Idn=581903&idFC=2016,planton,RadioFormula,29/03/2016,Realizan manifestantes plantón frente a Ciudad Administrativa en ...,Oaxaca,
http://www.reforma.com/aplicaciones/articulo/default.aspx?id=783810&v=1,huelga,Reforma,03/03/2016,Hacen huelga de hambre policías presos - Reforma,Tlaxcala,
http://www.reforma.com/aplicaciones/articulo/default.aspx?id=791011,bloqueo,Reforma,11/03/2016,Bloquean comunitarios Autopista del Sol - Reforma,Guerrero,
http://www.reforma.com/aplicaciones/articulo/default.aspx?id=795400,protesta,Reforma,16/03/2016,Protestan contra Uber en Aguascalientes,Aguascalientes,
http://www.reforma.com/aplicacioneslibre/articulo/default.aspx?id=797147&md5=bad1c71683725f850dd4314f585891e0&ta=0dfdbac11765226904c16cb9ad1b2efe,protesta,Reforma,18/03/2016,Protestan por viáticos en Salud-Chiapas,Chiapas,
http://www.sdpnoticias.com/nacional/2016/03/04/inician-familiares-y-abogados-de-el-chapo-huelga-de-hambre-en-el-altiplano,huelga,SDPNoticias,04/03/2016,Inician familiares y abogados de 'El Chapo' huelga de hambre en el Altiplano,Guerrero,nacional
https://www.sdpnoticias.com/nacional/2016/03/04/sep-descontara-el-dia-a-maestros-que-protestaron-por-visita-de-epn-a-oaxaca,protesta,SDPNoticias,04/03/2016,SEP descontará el día a maestros que protestaron por visita de EPN a Oaxaca,Oaxaca,nacional
http://www.sdpnoticias.com/local/edomex/2016/03/07/transportistas-bloquean-interlomas,bloqueo,SDPNoticias,07/03/2016,Transportistas bloquean Interlomas,Estado de México,local
http://www.sdpnoticias.com/local/oaxaca/2016/03/07/protestan-contra-la-pederastia-en-catedral-de-oaxaca,protesta,SDPNoticias,07/03/2016,Protestan contra la pederastia en catedral de Oaxaca,Oaxaca,local
http://www.sdpnoticias.com/local/ciudad-de-mexico/2016/03/08/respalda-mancera-marcha-de-indigenas-y-campesinas-a-segob,marcha,SDPNoticias,08/03/2016,Respalda Mancera marcha de indígenas y campesinas a Segob,Ciudad de México,local
https://www.sdpnoticias.com/local/veracruz/2016/03/10/marcha-la-universidad-veracruzana-contra-duarte,marcha,SDPNoticias,10/03/2016,Marcha la Universidad Veracruzana contra Duarte,Veracruz,local
https://www.sdpnoticias.com/nacional/2016/03/11/criptocracia-michoacan-huelgas-de-puertas-abiertas,huelga,SDPNoticias,11/03/2016,huelgas de “puertas abiertas,Michoacán,nacional
https://www.sdpnoticias.com/local/guerrero/2016/03/14/mirreyes-le-avientan-el-carro-a-ninos-y-padres-durante-marcha-intentan-lincharlos,marcha,SDPNoticias,14/03/2016,Mirreyes le avientan el carro a niños y padres durante marcha; intentan lincharlos,Guerrero,local
http://www.sdpnoticias.com/estados/2016/03/24/detiene-pgj-a-24-por-bloqueo-de-carretera-en-michoacan,bloqueo,SDPNoticias,24/03/2016,Detiene PGJ a 24 por bloqueo de carretera en Michoacán,Michoacán,estados
http://www.sdpnoticias.com/estados/2016/03/28/detencion-de-comuneros-provoca-incendio-de-autos-y-bloqueo-de-carretera-en-michoacan,bloqueo,SDPNoticias,28/03/2016,Detención de comuneros provoca incendio de autos y bloqueo de carretera en Michoacán,Michoacán,estados
http://www.sdpnoticias.com/estados/2016/03/30/por-huelga-de-lideresa-3-mil-100-docentes-de-guanajuato-se-quedan-sin-su-paga,huelga,SDPNoticias,30/03/2016,Por huelga de lideresa 3 mil 100 docentes de Guanajuato se quedan sin su paga,Guanajuato,estados
http://www.sinembargo.mx/08-03-2016/1633438,protesta,SinEmbargo,08/03/2016,Oposición reclama al director de Pemex despidos; petroleros ...,Veracruz,
http://www.sinembargo.mx/08-03-2016/1633560,protesta,SinEmbargo,08/03/2016,Protesta contra Uber termina en disturbios y agresiones en ...,Jalisco,
