¿Noticia reportada por ambos medios?,Sitio web,Fecha de publicación,Diario,Seccion,Subsección,Título,Concordancias halladas en el texto,Estados referidos,Versión
,http://www.eluniversal.com.mx/articulo/estados/2017/04/10/integrantes-del-viacrucis-del-migrante-protestan-frente-la-comar,10/04/2017,ElUniversal,estados,,Integrantes del Viacrucis del Migrante protestan frente a la Comar,protesta,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/10/marchan-en-apoyo-de-enfermeras-en-tuxtla-gutierrez,10/04/2017,LaJornada,ultimas,estados,Marchan en apoyo de enfermeras en Tuxtla Gutiérrez,marcha | huelga,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/10/gobierno-de-chiapas-responde-a-demandas-de-las-enfermeras-en-huelga-de-hambre,10/04/2017,LaJornada,ultimas,estados,Gobierno de Chiapas responde a demandas de las enfermeras en huelga de hambre,marcha | huelga,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/11/finaliza-paro-de-trabajadores-de-salud-en-chiapas,11/04/2017,ElUniversal,estados,,Finaliza paro de trabajadores de Salud en Chiapas,paro de labores | protesta | demanda,Chiapas/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/11/se-suma-otra-enfermera-huelga-de-hambre-en-chiapas-ya-son-9,11/04/2017,ElUniversal,estados,,Se suma otra enfermera a huelga de hambre en Chiapas; ya son 9,plantón | manifestación | huelga de hambre | demanda,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/11/enfermeras-continuan-huelga-de-hambre-en-chiapas,11/04/2017,LaJornada,ultimas,estados,Enfermeras continúan huelga de hambre en Chiapas,huelga | protesta,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/12/denuncian-retencion-de-indigenas-en-chiapas,12/04/2017,ElUniversal,estados,,Denuncian retención de indígenas en Chiapas,demanda,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/12/enfermeras-en-huelga-de-hambre-con-delicado-estado-de-salud,12/04/2017,ElUniversal,estados,,"Enfermeras en huelga de hambre, con delicado estado de salud",campamento | huelga de hambre,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/13/tras-10-dias-enfermeras-levantan-su-ayuno,13/04/2017,ElUniversal,estados,,"Tras 10 días, enfermeras levantan su ayuno",plantón | campamento | huelga | huelga de hambre | demanda,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/13/viacrucis-del-migrante-llega-chiapas,13/04/2017,ElUniversal,estados,,Viacrucis del migrante llega a Chiapas,caravana,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/15/trabajadores-de-salud-en-chiapas-realizan-quema-de-judas,15/04/2017,ElUniversal,estados,,Trabajadores de salud en Chiapas realizan quema de Judas,plantón | manifestación | huelga de hambre,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/15/viacrucis-migrante-avanza-hacia-oaxaca,15/04/2017,ElUniversal,estados,,Viacrucis migrante avanza hacia Oaxaca,demanda,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/18/pobladores-marchan-contra-alza-de-tarifas-de-luz-en-chiapas,18/04/2017,LaJornada,ultimas,estados,Pobladores marchan contra alza de tarifas de luz en Chiapas,marcha | protesta | manifestación,Chiapas/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/19/indigenas-de-chenalho-piden-seguridad-para-regresar-su-ejido,19/04/2017,ElUniversal,estados,,Indígenas de Chenalhó piden seguridad para regresar a su ejido,plantón | protesta,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/19/marchan-indigenas-desplazados-por-su-retorno-a-chenalho,19/04/2017,LaJornada,ultimas,estados,Marchan indígenas desplazados por su retorno a Chenalhó,marcha,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/20/productores-bloquean-carreteras-en-chiapas,20/04/2017,ElUniversal,estados,,Productores bloquean carreteras en Chiapas,manifestación | bloqueo | protesta | demanda,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/21/chiapas-13-mil-usuarios-no-pagaran-alza-de-tarifa-de-luz,21/04/2017,LaJornada,ultimas,estados,Chiapas: 13 mil usuarios no pagarán alza de tarifa de luz,protesta,Chiapas/,digital
,http://www.jornada.unam.mx/2017/04/22/estados/025n4est,22/04/2017,LaJornada,estados,,Protestan usuarios de CFE en Chiapas. ,protesta,Chiapas/,impresa
,http://www.jornada.unam.mx/ultimas/2017/04/22/se-manifiestan-en-san-cristobal-contra-recortes-a-becas-del-conacyt,22/04/2017,LaJornada,ultimas,estados,Se manifiestan en San Cristóbal contra recortes a becas del Conacyt,protesta | manifestación,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/2017/04/25/solicitan-azucareros-seguridad-la-sedena-en-chiapas,25/04/2017,ElUniversal,,,Solicitan azucareros seguridad a la Sedena en Chiapas,demanda | bloqueo | campamento,Chiapas/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/25/ex-trabajadores-del-ayuntamiento-de-chamula-exigen-pago-de-salarios,25/04/2017,ElUniversal,estados,,Ex trabajadores del Ayuntamiento de Chamula exigen pago de salarios,manifestación | demanda | protesta | plantón,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/25/protestan-77-ex-empleados-en-tuxtla-gutierrez-por-falta-de-pago,25/04/2017,LaJornada,ultimas,estados,Protestan 77 ex empleados en Tuxtla Gutiérrez por falta de pago,protesta,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/26/cumplidos-acuerdos-con-enfermeras-gobierno-de-chiapas,26/04/2017,ElUniversal,estados,,"Cumplidos, acuerdos con enfermeras: gobierno de Chiapas",plantón | huelga | huelga de hambre,Chiapas/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/27/ex-trabajadores-de-chamula-exigen-pago-de-sueldos-con-huelga-de-hambre,27/04/2017,ElUniversal,estados,,Ex trabajadores de Chamula exigen pago de sueldos con huelga de hambre,manifestación | huelga | protesta | huelga de hambre,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/27/en-huelga-de-hambre-77-ex-trabajadores-del-ayuntamiento-de-chamula,27/04/2017,LaJornada,ultimas,estados,"En huelga de hambre, 77 ex trabajadores del ayuntamiento de Chamula",protesta | huelga | plantón,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/27/pobladores-de-oxchuc-levantan-planton-carretero,27/04/2017,LaJornada,ultimas,estados,Pobladores de Oxchuc levantan plantón carretero,protesta | manifestación | plantón | bloqueo,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/29/liberan-indigenas-21-traileres-retenidos-en-chiapas,29/04/2017,ElUniversal,estados,,Liberan indígenas 21 tráileres retenidos en Chiapas,protesta | bloqueo,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/1/se-manifiestan-periodistas-de-chihuahua-exigen-justicia-para-miroslava,01/04/2017,ElUniversal,estados,,Se manifiestan periodistas de Chihuahua; exigen justicia para Miroslava,manifestación | demanda,Chihuahua/,digital
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/2/periodistas-exigen-justicia-para-breach?fb_comment_id=1365395453519623_1365772423481926,02/04/2017,ElUniversal,nacion,politica,Periodistas exigen justicia para Breach,demanda,Chihuahua/,digital
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/9/protestan-en-chihuahua-corral-es-represor?fb_comment_id=1446030525463971_1446314035435620,09/04/2017,ElUniversal,nacion,politica,Protestan en Chihuahua: “Corral es represor”,manifestación | protesta | bloqueo,Chihuahua/,digital
,http://www.jornada.unam.mx/2017/04/16/politica/006n2pol,16/04/2017,LaJornada,politica,,Realizan en Ciudad Juárez vía crucis por la violencia contra la mujeres. Critican inacción de autoridades para localizar a jóvenes. ,manifestación,Chihuahua/,impresa
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/23/exigen-justicia-para-miroslava-un-mes-de-su-homicidio,23/04/2017,ElUniversal,estados,,Exigen justicia para Miroslava a un mes de su homicidio,manifestación,Chihuahua/,digital
,http://www.jornada.unam.mx/2017/04/24/politica/007n1pol,24/04/2017,LaJornada,politica,,Exigen periodistas resolver el asesinato de Miroslava Breach. Demandan no caer en la fabricación de chivos expiatorios. Se manifiestan compañeros de trabajo y familiares de la comunicadora. ,protesta | manifestación | demanda,Chihuahua/,impresa
