id,URL noticia,C1x1FechaPeriodico,Eps_relacionados,sección,Día,versión,serie,concordancia_semantica_en_búsqueda,titulo,estados_referidos,autores,imagen_principal,info_publicacion,Referencias Ayotzinapa,Referencias Reforma educativa,Referencias Peña Nieto,Referencias Campesinos,Referencias CNTE,Referencias relevantes Ayotzinapa,Referencias relevantes Reforma educativa
N_345,http://www.jornada.unam.mx/2016/02/24/sociedad/037n3soc,24/02/2016,1,sociedad,Miércoles,Web,,plantón | manifestación | en_demanda,Productores de maíz y frijol demandan eliminar obstáculos a entrega de apoyos. ,Chiapas | Guerrero | Jalisco | Estado de México | Puebla | Veracruz | ,Laura Poy Solano. ,,"Miércoles 24 de febrero de 2016, p. 37. ",0,0,0,1,0,0,0
N_346,http://www.jornada.unam.mx/2016/02/25/sociedad/038n1soc,25/02/2016,1,sociedad,Jueves,Web,,movilización,Termina protesta de campesinos en Sagarpa. ,Guerrero | Hidalgo | Veracruz | ,Laura Poy Solano. ,,"Jueves 25 de febrero de 2016, p. 38. ",0,0,0,1,0,0,0
N_347,http://www.jornada.unam.mx/2016/03/11/politica/014n3pol,11/03/2016,1,politica,Viernes,Web,,plantón | manifestación | toma_de_edificios/casetas | bloqueo | protesta | movilización | marcha,Toman el Ieepo y cierran vías en Oaxaca. ,Oaxaca | ,"Diana Manzo, Sergio Ocampo, Héctor Briseño y René A. López. ",,"Viernes 11 de marzo de 2016, p. 14. ",0,1,0,0,1,0,1
N_348,http://www.jornada.unam.mx/2016/03/22/estados/028n1est,22/03/2016,1,estados,Martes,Web,,protesta | manifestación | en_demanda,Profesores de BC exigen jubilación. ,Baja California | ,Antonio Heras. ,,"Martes 22 de marzo de 2016, p. 28. ",0,0,0,0,0,0,0
N_349,http://www.jornada.unam.mx/2016/03/30/politica/015n1pol,30/03/2016,1,politica,Miércoles,Web,,plantón | movilización | toma_de_edificios/casetas | marcha,"Campesinos en plantón, sin respuesta sobre la instalación de una mesa de diálogo. ",Campeche | Chiapas | Ciudad de México | Guerrero | Hidalgo | Oaxaca | Puebla | Tabasco | ,Matilde Pérez U.. ,http://www.jornada.com.mx//2016/03/30/fotos/015n1pol-1.jpg,"Miércoles 30 de marzo de 2016, p. 15. ",0,0,0,1,0,0,0
N_350,http://www.jornada.unam.mx/2016/04/05/politica/023n2pol,05/04/2016,3,politica,Martes,Web,,plantón | bloqueo | caravana,Grupos campesinos bloquean carreteras de Oaxaca y Puebla. ,Oaxaca | Puebla | ,Matilde Pérez U.. ,,"Martes 5 de abril de 2016, p. 23. ",0,0,0,1,0,0,0
N_351,http://www.jornada.unam.mx/2016/04/10/estados/024n2est,10/04/2016,1,estados,Domingo,Web,,protesta | mitin | caravana,"Liberar a presos políticos, exigen dirigentes sociales. ",Estado de México | ,René Ramón. ,http://www.jornada.com.mx//2016/04/10/fotos/024n2est-1.jpg,"Domingo 10 de abril de 2016, p. 24. ",0,1,0,1,0,0,1
N_352,http://www.jornada.unam.mx/2016/04/11/estados/030n1est,11/04/2016,1,estados,Lunes,Web,,plantón | manifestación | protesta | marcha | en_demanda | huelga,"Inseguridad y represión contra activistas, quejas en aniversario luctuoso de Zapata. ",Guerrero | Morelos | Oaxaca | Sinaloa | ,"R. Morelos, S. Ocampo, D. Manzo y J. Valdez. ",http://www.jornada.com.mx//2016/04/11/fotos/030n1est-1.jpg,"Lunes 11 de abril de 2016, p. 30. ",1,0,1,1,0,0,0
N_353,http://www.jornada.unam.mx/2016/04/12/politica/006n1pol,12/04/2016,1,politica,Martes,Web,,plantón | manifestación | movilización | marcha | mitin | en_demanda,Campesinos marchan por la capital del país en busca de solución a sus demandas. ,Ciudad de México | ,Angélica Enciso. ,http://www.jornada.com.mx//2016/04/12/fotos/006n1pol-1.jpg,"Martes 12 de abril de 2016, p. 6. ",0,0,0,1,0,0,0
N_354,http://www.jornada.unam.mx/2016/04/13/politica/013n1pol,13/04/2016,1,politica,Miércoles,Web,,plantón | manifestación | en_demanda | marcha,Levantan campesinos plantón de 16 días frente a Gobernación. ,Ciudad de México | ,Matilde Pérez U.. ,http://www.jornada.com.mx//2016/04/13/fotos/013n1pol-1.jpg,"Miércoles 13 de abril de 2016, p. 13. ",1,0,0,1,0,0,0
N_354,http://www.jornada.unam.mx/2016/04/14/sociedad/032n1soc,13/04/2016,1,sociedad,Miércoles,Web,,plantón | en_demanda | marcha,Campesinos se reunirán con Osorio Chong el día 26. ,Chiapas | Ciudad de México | Guerrero | Oaxaca | Puebla | Tabasco | Veracruz | ,Carolina Gómez Mena. ,,"Jueves 14 de abril de 2016, p. 32. ",0,0,1,1,0,0,0
N_355,http://www.jornada.unam.mx/2016/04/16/politica/006n1pol,16/04/2016,1,politica,Sábado,Web,,marcha | en_demanda | protesta | toma_de_edificios/casetas | bloqueo,Maestros de cinco estados realizan bloqueos carreteros. ,Chiapas | ,"Jorge A. Pérez Alfonso, Sergio Ocampo, Rubén Villalpando, Diana Manzo, Ernesto Martínez, Irene Sánchez y Javier Valdez. ",http://www.jornada.com.mx//2016/04/16/fotos/006n1pol-1.jpg,"Sábado 16 de abril de 2016, p. 6. ",0,1,0,0,1,0,1
N_356,http://www.jornada.unam.mx/2016/04/16/politica/007n1pol,16/04/2016,6,politica,Sábado,Web,,marcha | lanzamiento_proyectiles | bloqueo,Reprime la policía de Chiapas protesta magisterial; 22 detenidos. ,Chiapas | ,Elio Henríquez. ,http://www.jornada.com.mx//2016/04/16/fotos/007n1pol-1.jpg,"Sábado 16 de abril de 2016, p. 7. ",0,1,0,0,0,0,1
N_357,http://www.jornada.unam.mx/2016/04/23/politica/013n1pol,23/04/2016,1,politica,Sábado,Web,,manifestación | bloqueo | marcha | mitin | en_demanda | huelga,Exigen en Chiapas la derogación de la reforma educativa y el fin de la represión. ,Chiapas | ,Elio Henríquez y Diana Manzo. ,http://www.jornada.com.mx//2016/04/23/fotos/013n1pol-1.jpg,"Sábado 23 de abril de 2016, p. 13. ",0,1,1,0,1,0,1
N_358,http://www.jornada.unam.mx/2016/04/27/politica/013n1pol,27/04/2016,1,politica,Miércoles,Web,,movilización | bloqueo | mitin | manifestación | marcha,"Diálogo directo, exigen padres a Peña tras salida de expertos. ",Chiapas | Ciudad de México | Guerrero | Morelos | ,José Antonio Román. ,http://www.jornada.com.mx//2016/04/27/fotos/013n1pol-1.jpg,"Miércoles 27 de abril de 2016, p. 13. ",1,0,1,0,0,1,0
N_359,http://www.jornada.unam.mx/2016/05/02/estados/026n2est,02/05/2016,1,estados,Lunes,Web,,huelga,Mandatario de Querétaro huye de protesta. ,Querétaro | ,Mariana Chávez. ,,"Lunes 2 de mayo de 2016, p. 26. ",0,1,0,0,0,0,0
N_360,http://www.jornada.unam.mx/2016/05/03/politica/015n1pol,03/05/2016,1,politica,Martes,Web,,plantón,Jornaleros impiden acceso al personal de la Sagarpa; exigen pago de $800 millones. ,Sinaloa | ,Matilde Pérez U.. ,http://www.jornada.com.mx//2016/05/03/fotos/015n1pol-1.jpg,"Martes 3 de mayo de 2016, p. 15. ",0,0,1,1,0,0,0
N_361,http://www.jornada.unam.mx/2016/05/10/capital/029n2cap,10/05/2016,1,capital,Martes,Web,,plantón | manifestación | en_demanda,Manifestantes impiden a Claudia Sheinbaum ingresar a sus oficinas. ,Ciudad de México | ,Laura Gómez Flores. ,http://www.jornada.com.mx//2016/05/10/fotos/029n2cap-1.jpg,"Martes 10 de mayo de 2016, p. 29. ",0,0,0,0,0,0,0
N_362,http://www.jornada.unam.mx/2016/05/16/politica/005n2pol,16/05/2016,2,politica,Lunes,Web,,plantón | manifestación | toma_de_edificios/casetas | protesta | marcha | huelga,"En nueve estados, miles de profesores protestan contra la reforma educativa. ",Chiapas | Chihuahua | Ciudad de México | Guerrero | Jalisco | Michoacán | Morelos | Oaxaca | Sinaloa | Yucatán | ,De los corresponsales. ,,"Lunes 16 de mayo de 2016, p. 5. ",0,1,0,0,1,0,1
N_363,http://www.jornada.unam.mx/2016/05/17/politica/003n1pol,17/05/2016,1,politica,Martes,Web,,plantón | manifestación | toma_de_edificios/casetas | bloqueo | protesta | marcha,Protestan maestros en varios estados. ,Chiapas | Durango | Guerrero | Jalisco | Morelos | Oaxaca | ,De los corresponsales. ,http://www.jornada.com.mx//2016/05/17/fotos/003n1pol-1.jpg,"Martes 17 de mayo de 2016, p. 3. ",0,1,0,0,1,0,1
N_364,http://www.jornada.unam.mx/2016/05/19/sociedad/032n3soc,19/05/2016,1,sociedad,Jueves,Web,,marcha | paro de labores | protesta | bloqueo,Docentes de cuatro estados mantienen la protesta con marchas y bloqueos. ,Chiapas | Guerrero | Morelos | Oaxaca | ,De los corresponsales. ,,"Jueves 19 de mayo de 2016, p. 32. ",0,0,0,0,1,0,0
N_365,http://www.jornada.unam.mx/2016/05/20/politica/003n1pol,20/05/2016,1,politica,Viernes,Web,,marcha | paro de labores | toma_de_edificios/casetas | bloqueo,Maestros de Oaxaca y Chiapas llevan a cabo tomas de oficinas públicas y casetas de peaje. ,Chiapas | Oaxaca | ,De los corresponsales. ,,"Viernes 20 de mayo de 2016, p. 3. ",0,1,0,0,1,0,1
N_366,http://www.jornada.unam.mx/2016/05/21/politica/008n2pol,21/05/2016,1,politica,Sábado,Web,,plantón | toma_de_edificios/casetas | bloqueo | protesta | paro de labores | marcha,Maestros toman estaciones de radio y tv en Chiapas. ,Chiapas | ,"S. Ocampo, H. Briseño, Jorge A. Pérez Alfonso, D. Manzo, E. Henríquez, R. Villalpando, M. Chávez y R. Morelos. ",,"Sábado 21 de mayo de 2016, p. 8. ",0,1,0,0,1,0,0
N_367,http://www.jornada.unam.mx/2016/05/22/politica/003n1pol,22/05/2016,1,politica,Domingo,Web,Insurgencia magisterial. ,plantón | lanzamiento_proyectiles | paro de labores | toma_de_edificios/casetas | marcha,Maestros y normalistas de Chiapas chocan con policías federales y estatales. ,Chiapas | ,Elio Henríquez. ,http://www.jornada.com.mx//2016/05/22/fotos/003n1pol-1.jpg,"Domingo 22 de mayo de 2016, p. 3. ",0,1,0,0,1,0,0
N_368,http://www.jornada.unam.mx/2016/05/24/estados/026n1est,24/05/2016,1,estados,Martes,Web,,plantón | manifestación | toma_de_edificios/casetas | bloqueo | protesta | lanzamiento_proyectiles | movilización | marcha | mitin | en_demanda | caravana,Marchan maestros en cuatro estados contra despidos y reforma educativa. ,Chiapas | ,De los corresponsales. ,http://www.jornada.com.mx//2016/05/24/fotos/026n1est-1.jpg,"Martes 24 de mayo de 2016, p. 26. ",1,1,1,0,1,0,1
N_369,http://www.jornada.unam.mx/2016/05/25/politica/008n2pol,25/05/2016,1,politica,Miércoles,Web,,toma_de_edificios/casetas | paro de labores | manifestación | marcha,Persisten protestas en Chiapas y Guerrero. ,Chiapas | Guerrero | ,Elio Henrìqez y Héctor Briseño. ,,"Miércoles 25 de mayo de 2016, p. 8. ",0,1,0,0,0,0,0
N_370,http://www.jornada.unam.mx/2016/05/26/politica/004n1pol,26/05/2016,1,politica,Jueves,Web,Insurgencia magisterial. ,marcha | lanzamiento_proyectiles | plantón | manifestación | bloqueo,Aplica el gobierno mano dura en Chiapas. ,Chiapas | ,Elio Henríquez. ,http://www.jornada.com.mx//2016/05/26/fotos/004n1pol-1.jpg,"Jueves 26 de mayo de 2016, p. 4. ",0,1,0,0,1,0,1
N_371,http://www.jornada.unam.mx/2016/05/27/politica/006n1pol,27/05/2016,1,politica,Viernes,Web,Insurgencia magisterial. ,plantón | manifestación | protesta | paro de labores | marcha | mitin,"Marchan miles de maestros en Michoacán, Guerrero y Morelos contra la reforma. ",Guerrero | Michoacán | Morelos | ,De los corresponsales. ,http://www.jornada.com.mx//2016/05/27/fotos/006n1pol-1.jpg,"Viernes 27 de mayo de 2016, p. 6. ",1,1,0,0,1,1,1
N_372,http://www.jornada.unam.mx/2016/05/29/politica/008n1pol,29/05/2016,1,politica,Domingo,Web,,manifestación | toma_de_edificios/casetas | bloqueo | marcha | mitin | en_demanda | caravana,Padres de familia y sindicatos en marcha magisterial de Oaxaca. ,Oaxaca | ,"Jorge A. Pérez Alfonso, Elio Henríquez y Héctor Briseño. ",http://www.jornada.com.mx//2016/05/29/fotos/008n1pol-1.jpg,"Domingo 29 de mayo de 2016, p. 8. ",0,1,1,0,1,0,1
N_373,http://www.jornada.unam.mx/2016/05/31/politica/014n1pol,31/05/2016,1,politica,Martes,Web,,movilización | manifestación | paro de labores | toma_de_edificios/casetas | marcha,Maestros arrecian protestas y toman gasolineras en Chiapas. ,Chiapas | ,"Héctor Briseño, Sergio Ocampo, Elio Henríquez y René Alberto López. ",http://www.jornada.com.mx//2016/05/31/fotos/014n1pol-1.jpg,"Martes 31 de mayo de 2016, p. 14. ",0,1,1,0,1,0,1
N_374,http://www.jornada.unam.mx/2016/06/02/estados/028n1est,02/06/2016,2,estados,Jueves,Web,,plantón | manifestación | bloqueo | toma_de_edificios/casetas | lanzamiento_proyectiles | marcha | caravana,Rechazo a la reforma educativa gana respaldo en otros sectores. ,Michoacán | ,De los corresponsales. ,http://www.jornada.com.mx//2016/06/02/fotos/028n1est-1.jpg,"Jueves 2 de junio de 2016, p. 28. ",0,1,1,0,1,0,1
N_375,http://www.jornada.unam.mx/2016/06/03/politica/009n2pol,03/06/2016,1,politica,Viernes,Web,Elecciones. ,plantón | toma_de_edificios/casetas | bloqueo | manifestación | paro de labores | movilización | marcha,Maestros de Guanajuato y Sinaloa se unen a las protestas contra la reforma educativa. ,Guanajuato | Sinaloa | ,De los corresponsales. ,,"Viernes 3 de junio de 2016, p. 9. ",0,1,0,0,1,0,1
N_376,http://www.jornada.unam.mx/2016/06/07/estados/028n1est,07/06/2016,1,estados,Martes,Web,,marcha | plantón | bloqueo,Trifulca entre docentes y PF en Chiapas deja varios heridos; uno está delicado. ,Chiapas | ,Elio Henríquez y Ernesto Martínez. ,http://www.jornada.com.mx//2016/06/07/fotos/028n1est-1.jpg,"Martes 7 de junio de 2016, p. 28. ",0,1,0,0,1,0,0
N_377,http://www.jornada.unam.mx/2016/06/08/politica/013n1pol,08/06/2016,1,politica,Miércoles,Web,,plantón | manifestación | toma_de_edificios/casetas | bloqueo | paro de labores | marcha | en_demanda,Bloqueos y toma de estaciones de radio y tv contra la reforma educativa en 4 entidades. ,Chiapas | Hidalgo | Michoacán | Oaxaca | Jalisco | ,"Jorge A. Pérez, E. Henríquez, E. Martínez y Juan R. Montoya. ",,"Miércoles 8 de junio de 2016, p. 13. ",0,1,0,0,1,0,1
