exactitud,EPs,lat,lon,Estado,Municipio,Lugar,Bloqueo,Plantón,Marcha,Mitin,Paro de labores,#Repertorios,Repertorio_de_referencia,Repertorio_de_referencia_,Repertorio_de_referencia2
sí,1,19.4356756,-99.1495764,Ciudad de México,Cuauhtémoc,Antimonumento de los 43 normalistas desaparecidos,0,0,1,1,0,4,Marcha,Marcha,Marcha
sí,1,19.4358138,-99.1416986,Ciudad de México,Cuauhtémoc,Palacio de Minería,0,0,0,1,0,1,Mitin,Mitin,Mitin
sí,5,19.4360812,-99.074097,Ciudad de México,Venustiano Carranza,Aeropuerto Internacional de la Ciudad de México.,0,0,1,0,0,1,Varios,Varios,Varios
sí,8,19.4362136,-99.1568185,Ciudad de México,Cuauhtémoc,Monumento a la Revolución,0,0,0,0,0,1,Varios,Varios,Varios
sí,3,19.4370983,-99.1338283,Ciudad de México,Cuauhtémoc,Secretaría de Educación Pública,0,0,1,1,0,2,Varios,Varios,Varios
sí,1,19.4384485,-99.1511504,Ciudad de México,Cuauhtémoc,Sede nacional del PRI,0,0,1,0,0,2,Marcha,Marcha,Marcha
sí,1,19.4502868,-99.2197041,Ciudad de México,Miguel Hidalgo,Corporativo Walmart Corporativo Walmart de México y Centroamérica,0,0,0,1,0,1,Mitin,Mitin,Mitin
sí,1,19.4516942,-99.1397806,Ciudad de México,Cuauhtémoc,Plaza de las Tres Culturas,1,0,1,1,0,3,Bloqueo,Bloqueo,Bloqueo
sí,1,19.4817696,-90.6768603,Campeche,Champotón,Ingenio La Joya,0,0,0,0,1,2,Paro de labores,Paro de labores,Paro de labores
sí,1,19.4830551,-98.9694452,Estado de México,Texcoco,Autopista Peñón-Texcoco,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,3,19.5060432,-98.885339,Estado de México,Texcoco,Penal Molino de Flores,0,1,0,0,0,1,Varios,Varios,Varios
sí,1,19.5293878,-96.9208354,Veracruz,Xalapa,Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI) ,0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,19.5521791,-98.9163909,Estado de México,Atenco,Explanada municipal,0,0,0,0,0,1,Otro,Caravana,Caravana
sí,1,19.5521845,-98.9185212,Estado de México,Atenco,Plaza Principal de Atenco,0,1,1,0,0,3,Plantón,Plantón,Plantón
sí,1,19.5630109,-99.0505997,Estado de México,Ecatepec de Morelos,Escuela Héroes de Churubusco,0,0,0,0,0,2,Otro,Marcha,Marcha anual
sí,1,19.5993409,-99.0491156,Estado de México,Ecatepec de Morelos,Explanada de San Cristóbal,0,0,0,1,0,2,Mitin,Mitin,Mitin
sí,1,19.6428076,-99.1787573,Estado de México,Tultitlán,puente vehicular San Antonio,0,0,1,1,0,3,Marcha,Marcha,Marcha
sí,1,19.679647,-101.2037997,Michoacán,Morelia,Casa de gobierno,1,0,0,0,1,2,Bloqueo,Bloqueo,Bloqueo
sí,1,19.6874956,-101.2898311,Michoacán,Morelia,Caseta autopista Occidente,1,1,0,0,0,3,Bloqueo,Bloqueo,Bloqueo
sí,3,19.6896469,-101.2066326,Michoacán,Morelia,Universidad Michoacana de San Nicolás de Hidalgo,0,0,0,0,0,1,Varios,Varios,Varios
sí,3,19.7033704,-101.1942329,Michoacán,Morelia,Palacio de Gobierno,0,0,1,1,0,2,Varios,Varios,Varios
sí,3,19.7033957,-101.1962703,Michoacán,Morelia,Calles del centro,0,0,1,0,0,1,Varios,Varios,Varios
sí,1,19.7196815,-101.1745146,Michoacán,Morelia,Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI),0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,19.9739785,-98.8620821,Hidalgo,Zapotlán de Juárez,Alcaldía municipal,0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,20.0950567,-98.7596319,Hidalgo,Pachuca de Soto,Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI),0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,20.1224497,-98.7390169,Hidalgo,Pachuca de Soto,Palacio de Gobierno,0,1,0,0,0,2,Plantón,Plantón,Plantón
sí,1,20.1275473,-98.7322303,Hidalgo,Pachuca de Soto,Quiosco de Plaza Independencia,0,1,0,0,0,1,Plantón,Plantón,Plantón
sí,1,20.3314818,-102.7746894,Jalisco,Ocotlán,Autopista Guadalajara-México,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,20.589021,-100.4018238,Querétaro,Querétaro,Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI),0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
